MFL_Code,Facility_Name,County,SubCounty,Owner,Latitude,Longitude
14868,Kimana Health Centre,Kajiado,Kajiado North,Ministry of Health,1.6467,2.865757
17757,Baraka Hospital,Narok,Narok West,Non-Governmental Organizations,-0.9775,35.3774
18867,Nyabondo Rehabilitation Centre,Kisumu,Nyakach,Christian Health Association of Kenya,-0.3817,34.9788
15901,Imbiakalo Dispensary,Kakamega,Malava,Ministry of Health,0.281349,34.751401
14097,Sony Medical Centre,Migori,Awendo,Company Medical Service,-0.8937,34.5334
11566,Mariakani District Hospital,Kilifi,Kaloleni,Ministry of Health,-3.8631,39.4721
10244,Geta Bush Health centre,Nyandarua,Kipipiri,Ministry of Health,-0.4136,36.5839
10171,Engineer District Hospital,Nyandarua,Kinangop,Ministry of Health,-0.6105,36.5919
15956,Kopsiro Model Health Centre,Bungoma,Cheptais,Ministry of Health,0.8228,34.5903
11818,St Luke's (ACK) Nursing home Kaloleni,Kilifi,Kaloleni,Other Faith Based,-3.8119,39.6331
15985,Madende Health Centre,Busia,Nambale,Ministry of Health,0.4767,34.3465
17602,Kalambani Dispensary,Kitui,Kitui South,Ministry of Health,-1.325238,38.00357
15936,Khaunga Dispensary,Kakamega,Mumias East,Ministry of Health,0.3769,34.5844
11382,Ganda Dispensary,Kilifi,Malindi,Ministry of Health,-3.2161,40.0656
13007,Kariokor Clinic,Nairobi,Starehe,Local Authority,-1.292066,36.821946
12395,Kwa Nguu Dispensary,Machakos,Matungulu,Ministry of Health,-1.468774,37.732655
13920,Nyandiwa Dispensary,Homa Bay,Suba South,Ministry of Health,-0.7246,34.0513
13808,Milimani Hospital,Kisumu,Kisumu Central,Private Enterprise (Institution),-0.029384,34.494442
12571,Mumbuni Health Centre (Makueni),Makueni,Makueni,Ministry of Health,-1.801198,37.708151
12501,Mbita Dispensary ( Mbeere ),Embu,Mbeere South,Ministry of Health,-0.6374,37.594
15862,Coptic Nursing Home,Vihiga,Luanda,Coptic Orthodox Church,-0.0043,34.601
11401,Gongoni Health Centre,Kilifi,Magarini,Ministry of Health,-3.0364,40.1335
16132,Sonak Community Medical Centre,Kakamega,Khwisero,Private Practice - Nurse / Midwife,0.281349,34.751401
13000,Kamiti Prison Hospital,Nairobi,Roysambu,Ministry of Health,-1.1761,36.8934
10539,Kiambu District Hospital,Kiambu,Kiambu Town,Ministry of Health,-1.172,36.8297
14087,Sikalame Dispensary,Siaya,Ugunja,Ministry of Health,0.1688,34.4051
12049,GK Prison Dispensary (Meru),Meru,Imenti North,Ministry of Health,0.0529,37.6447
13579,GK Prisons Dispensary (Kibos),Kisumu,Kisumu East,Ministry of Health,-0.0718,34.8209
21375,Teremkus Dispensary,Turkana,Turkana West,Ministry of Health,4.2020266,34.3562172
10870,Ngorano Health Centre,Nyeri,Mathira West,Kenya Episcopal Conference-Catholic Secretariat,-0.4128,37.0644
15048,Lodungokwe Health Centre,Samburu,Samburu East,Ministry of Health,0.87017,37.00815
13983,Nyamogonchoro Dispensary,Kisii,South Mugirango,Ministry of Health,-0.898421,34.679
10912,Old Mawingu Health Centre,Nyandarua,Kipipiri,Ministry of Health,-0.4714,36.5062
19108,Imbirikani Dispensary,Kajiado,Loitokitok,Ministry of Health,-1.558724,36.478973
14814,Kataboi dispensary,Turkana,Turkana North,Kenya Episcopal Conference-Catholic Secretariat,3.9051,35.7514
10698,Mary Help of the Sick Hospital,Kiambu,Thika Town,Kenya Episcopal Conference-Catholic Secretariat,-0.9576,36.9015
15903,Inyali Dispensary,Vihiga,Sabatia,Ministry of Health,0.095981,34.739828
18828,Lea Toto Zimmerman,Nairobi,Roysambu,Non-Governmental Organizations,-1.2088,36.8947
15368,Nturukuma Dispensary,Laikipia,Laikipia East,Ministry of Health,0.255549,36.225048
14129,Star Maternity & Nursing Home,Kisumu,Kisumu Central,Private Enterprise (Institution),-0.1218,34.7531
10666,Lussigetti Sub-county Hospital,Kiambu,Kikuyu,Ministry of Health,-1.2822,36.6126
15882,Eshikhuyu Dispensary,Kakamega,Lurambi,Ministry of Health,0.281349,34.751401
12102,Iuani Health Centre,Makueni,Kaiti,Ministry of Health,-1.801198,37.708151
14776,Kaptarakwa Sub-District Hospital,Elgeyo Marakwet,Keiyo South,Ministry of Health,0.674319,35.501897
13735,Ligega Health Centre,Siaya,Ugunja,Ministry of Health,0.2015,34.2505
12487,Matuu Cottage Clinic,Machakos,Yatta,Private Enterprise (Institution),-1.1381,37.5146
11991,Dwa Health Centre,Makueni,Kibwezi East,Company Medical Service,-2.39765,38.01388
10049,Baricho Health Centre,Kirinyaga,Kirinyaga West,Ministry of Health,-0.5531,37.2393
16785,Bar Sauri Health Centre,Siaya,Gem,Ministry of Health,0.1113,34.525
11274,Coast General Teaching and Referral Hospital (Chaani Outreach Centre),Mombasa,Changamwe,Ministry of Health,-4.0318,39.6273
15885,Esiarambatsi Health Centre,Vihiga,Emuhaya,Ministry of Health,0.0808,34.6074
15362,Nkararo Health Centre,Narok,Transmara West,Ministry of Health,0.4399,35.9953
17003,Kiraone Dispensary,Meru,Igembe South,Ministry of Health,0.20327,37.98056
20343,Nakuru Heart Centre,Nakuru,Nakuru West,Private Practice,-0.2947,36.061
11654,St Marys Msabaha Catholic Dispensary,Kilifi,Malindi,Kenya Episcopal Conference-Catholic Secretariat,-3.968514,39.54447
15801,Ap Line Dispensary,Kakamega,Lurambi,Ministry of Health,0.2753,34.7551
14064,Sagam Community Hospital,Siaya,Gem,Private Enterprise (Institution),0.0561,34.5418
22760,Kikopey Dispensary,Nakuru,Gilgil,Ministry of Health,None,None
15686,Sunrise Evans Hospital,Nakuru,Nakuru West,Private Practice - Medical Specialist,-0.2947,36.0609
16084,Nzoia (ACK) Dispensary,Kakamega,Likuyani,Christian Health Association of Kenya,0.8676,35.0445
13663,Kegonga Sub County Hospital,Migori,Kuria East,Ministry of Health,-1.2586,34.6527
20153,Kasewe Dispensary,Homa Bay,Rachuonyo East,Ministry of Health,-0.4489,34.8931
11256,Bombi Dispensary,Kilifi,Magarini,Ministry of Health,-3.968514,39.54447
11618,Mirihini Dispensary,Kilifi,Ganze,Ministry of Health,-3.968514,39.54447
14326,Chemuswo Dispensary,Nandi,Chesumei,Ministry of Health,0.3438,35.1171
14298,Chebitet Dispensary,Bomet,Konoin,Company Medical Service,-0.918432,35.299013
17710,Ringiti Dispensary,Homa Bay,Suba West,Ministry of Health,-0.4609,33.9455
11659,Msumarini Dispensary,Kilifi,Kilifi South,Ministry of Health,-3.8723,39.7979
17469,Kiteje Dispensary,Kwale,Matuga,Ministry of Health,-3.968514,39.54447
19123,Northstar Alliance Wellness Centre (Mai Mahiu),Nakuru,Naivasha,Ministry of Health,-0.9813,36.5846
13889,Nyalgosi Dispensary,Homa Bay,Rachuonyo South,Ministry of Health,-0.4546,34.6867
10822,Naromoru Health Center,Nyeri,Kieni West,Ministry of Health,-0.1667,37.0203
13805,Migori County Referral Hospital,Migori,Suna East,Ministry of Health,-1.0604,34.4763
12792,Thaana Nzau Dispensary,Kitui,Mwingi West,Ministry of Health,-1.325238,38.00357
13504,Bogwendo Health Centre(Manga),Nyamira,Manga,Ministry of Health,-0.64391,34.89357
16160,Webuye Health Centre,Bungoma,Webuye East,Ministry of Health,0.578148,34.559255
18171,Administration Police Senior Staff College Dispensary,Makueni,Kilome,Ministry of Health,-2.0945,37.5562
18216,Kitum Dispensary,Trans Nzoia,Endebess,Ministry of Health,1.015835,35.003314
15950,Kimilili Subcounty Hospital,Bungoma,Kimilili,Ministry of Health,0.7892,34.7006
19606,Mrima Maternity Hospital,Mombasa,Likoni,Ministry of Health,-4.0986,39.6487
20619,Oasis Specialist Hospital,Kisii,Kitutu Chache South,Private Practice - Medical Specialist,None,None
14164,Usigu Health Centre,Siaya,Bondo,Ministry of Health,-0.0568,34.0994
14028,Ram Hospital,Kisii,Kitutu Chache South,Private Enterprise (Institution),-0.675747,34.771766
23458,Kolani Dispensary,Bungoma,Sirisia,Ministry of Health,None,None
18581,Mlolongo Health Centre,Machakos,Athi River,Ministry of Health,-1.3884,36.949
20543,Kiarukungu Dispensary,Kirinyaga,Kirinyaga South,Ministry of Health,-0.62123,37.3999
15738,Tot Sub-District Hospital,Elgeyo Marakwet,Marakwet East,Ministry of Health,1.2088,35.6563
13747,Madiany Sub County  Hospital,Siaya,Rarieda,Ministry of Health,-0.284,34.323
17747,Good Shepherd Ang'iya,Homa Bay,Ndhiwa,Kenya Episcopal Conference-Catholic Secretariat,-0.7341,34.5225
15234,Motosiet Health Centre,Trans Nzoia,Cherangany,Ministry of Health,0.9909,35.1548
11398,GK Prisons Dispensary (Tana River),Tana River,Galole,Ministry of Health,-1.4987,40.0342
13473,Aluor Mission Health Centre,Siaya,Gem,Kenya Episcopal Conference-Catholic Secretariat,0.0105,34.465
14928,Kiptere Dispensary,Kericho,Sigowet/Soin,Ministry of Health,-0.3972,35.0937
13056,Makadara Health Centre,Nairobi,Makadara,Local Authority,-1.2967,36.8729
13207,St Joseph (EDARP) Clinic,Nairobi,Kamukunji,Kenya Episcopal Conference-Catholic Secretariat,-1.2905,36.8468
27186,Gichagi Dispensary,Nairobi,Westlands,Ministry of Health,1.2712436,36.7423699
12340,Kisasi Health Centre (Kitui),Kitui,Kitui Rural,Ministry of Health,-1.5454,38.027
14867,Kimalel Health Centre,Baringo,Marigat,Ministry of Health,0.4648,35.8914
12290,Kiburine Dispensary,Meru,Imenti North,Ministry of Health,0.002403,37.826242
21144,MARPS Project Machakos Dice,Machakos,Machakos,Public Institution - Academic,-1.5195,37.2619
12976,Huruma Nursing Home & Maternity,Nairobi,Starehe,Private Enterprise (Institution),-1.2573,36.8752
13464,Administration Police Dispensary (Kisumu),Kisumu,Kisumu Central,Ministry of Health,-0.1241,34.7581
20019,Isbania Prevention Centre,Migori,Kuria West,Non-Governmental Organizations,-1.239,34.4791
15967,Lukhuna Dispensary,Bungoma,Tongaren,Ministry of Health,0.8053,34.9401
13033,Kikoshep Kenya (Mugumoini),Nairobi,Langata,Non-Governmental Organizations,-1.3165,36.8171
14671,Kamawoi Dispensary,Kericho,Belgut,Ministry of Health,-0.3904,35.128
23128,Mwena Dispensary,Kwale,Lunga Lunga,Ministry of Health,-10.497076,38.84557811
14134,Suna Nursing and Maternity Home,Migori,Suna West,Private Enterprise (Institution),-0.931723,34.568456
14099,Sosera Dispensary,Kisii,Nyaribari Masaba,Ministry of Health,-0.8623,34.98804
17435,Keera Dispensary,Kisii,Kitutu Chache South,Ministry of Health,-0.675747,34.771766
16421,Changara (GOK) Dispensary,Busia,Teso North,Ministry of Health,0.7376,34.4214
12589,Muthambi Health Centre,Tharaka-Nithi,Muthambi,Ministry of Health,-0.2746,37.6605
11662,Mtaa Dispensary,Kwale,Kinango,Ministry of Health,-3.968514,39.54447
11548,Makere Dispensary,Tana River,Galole,Ministry of Health,-1.3372,40.0007
11691,Mwangulu Dispensary,Kwale,Lunga Lunga,Ministry of Health,-4.4095,39.0134
15703,Tambach Sub-County Hospital,Elgeyo Marakwet,Keiyo North,Ministry of Health,0.5953,35.5223
12676,Nthongoni Health Centre (Kibwezi),Makueni,Kibwezi East,Ministry of Health,-2.7054,38.0479
20618,Mungetho Dispensary,Nakuru,Kuresoi North,Ministry of Health,None,None
13949,NYS Dispensary (Suba),Homa Bay,Suba South,Other Public Institution,-0.6079,34.2598
18895,Korogocho Health Centre,Nairobi,Ruaraka,Ministry of Health,-1.2563,36.9061
18854,Jirime Dispensary,Marsabit,Saku,Ministry of Health,2.344972,37.999111
19429,SWOP Donholm,Nairobi,Embakasi East,Non-Governmental Organizations,-1.29678,36.89436
14562,Ilaiser Dispensary,Narok,Narok East,Ministry of Health,-0.8893,36.1043
13683,Kiamokama Health Centre,Kisii,Nyaribari Masaba,Ministry of Health,-0.560304,34.927533
12025,Gafarsa Health Centre,Isiolo,Garbatulla,Ministry of Health,0.340332,37.590252
22501,Namwatikho Dispensary,Bungoma,Webuye East,Ministry of Health,None,None
13077,Mathare North Health Centre,Nairobi,Ruaraka,Local Authority,-1.2532,36.8675
18725,Pedo Dispensary,Kisumu,Nyakach,Ministry of Health,-0.029384,34.494442
12030,Gatab Health Centre,Marsabit,Laisamis,Christian Health Association of Kenya,2.344972,37.999111
11265,Bura Mission Clinic,Taita Taveta,Mwatate,Other Faith Based,-3.4534,38.3133
20061,Nairobi Women's Hospital,Nakuru,Nakuru East,Private Practice - General Practitioner,-0.2655,36.0556
11297,Dagamra Dispensary,Kilifi,Magarini,Ministry of Health,-3.968514,39.54447
11942,Baragu Health Centre,Tharaka-Nithi,Mwimbi,Ministry of Health,-0.2479,37.6797
15693,Swari Model Health Centre,Samburu,Samburu East,Ministry of Health,1.09738,37.007168
13524,Chiga Dispensary,Kisumu,Kisumu East,Local Authority,-0.0935,34.8383
14877,Kimondo Dispensary,Trans Nzoia,Endebess,Ministry of Health,1.015835,35.003314
20522,Maikona Health Centre,Marsabit,North Horr,Ministry of Health,2.9360994,37.62810332
10662,Limuru Nursing Home,Kiambu,Limuru,Private Enterprise (Institution),-1.168864,36.826319
13532,Dede Health Centre,Migori,Awendo,Ministry of Health,-0.8144,34.5331
14110,St Joseph Mission Hospital,Migori,Suna East,Kenya Episcopal Conference-Catholic Secretariat,-1.0708,34.4747
14520,GK Prisons Dispensary (Kapenguria),West Pokot,Turkana Central,Ministry of Health,1.2277,35.1245
12777,Sultan Hamud Sub County Hospital,Makueni,Kilome,Ministry of Health,-2.0166,37.3778
13894,Nyamaiya Health Centre,Nyamira,Nyamira,Ministry of Health,-0.4871,34.9084
13719,Koru Mission Health Centre,Kisumu,Muhoroni,Kenya Episcopal Conference-Catholic Secretariat,-0.1858,35.2742
10019,Cardinal Otunga Health Centre,Kiambu,Gatundu North,Faith Based,-0.9888,36.9554
13484,Arito Langi Health Centre,Kisumu,Seme,Ministry of Health,-0.0945,34.4495
11577,Mata Dispensary (Taveta),Taita Taveta,Taveta,Ministry of Health,-3.0139,38.2113
19311,Ishtar MSM,Nairobi,Starehe,Non-Governmental Organizations,-1.27692,36.82817
17069,Yala Dispensary,Homa Bay,Rachuonyo South,Ministry of Health,-0.4888,34.6716
10055,Bellevue Health Centre,Nyeri,Kieni West,Ministry of Health,-0.2281,36.7302
15303,Nanam Dispensary,Turkana,Turkana West,Christian Health Association of Kenya,0.865298,36.452774
16995,St Joseph Kavisuni Health Centre,Kitui,Kitui Rural,Other Faith Based,-1.6796,37.9235
14609,Kabartonjo Referral Hospital,Baringo,Baringo North,Ministry of Health,0.6182,35.787
19861,Koduogo Dispensary,Homa Bay,Homa Bay Town,Ministry of Health,-0.5729,34.4369
13546,Eramba Dispensary,Kisii,Kitutu Chache North,Ministry of Health,-0.546938,34.7811
13548,Esani Sub-District Hospital,Nyamira,Masaba North,Ministry of Health,-0.6953,34.9435
21215,Emerging Infectious Disease Center,Nairobi,Westlands,Private Practice - General Practitioner,-1.2598768,36.8153169
11520,Likoni Catholic Dispensary,Mombasa,Likoni,Non- Governmental Organizations,-4.0992,39.6458
12283,Kiarago Health Centre,Meru,Imenti South,Ministry of Health,-0.293978,37.618555
14924,Kiptagich Model Health centre,Nakuru,Kuresoi South,Ministry of Health,-0.570585,35.612507
21212,Kokech Mirondo Health Center,Homa Bay,Rachuonyo South,Ministry of Health,None,None
10229,Gatugura Dispensary,Kirinyaga,Kirinyaga East,Ministry of Health,-0.566715,37.320265
12622,Mwanyani Health Centre,Makueni,Kibwezi West,Ministry of Health,-1.801198,37.708151
18668,Reinha Rosary MEdical Clinic(Githunguri),Nairobi,Embakasi East,Other Faith Based,-1.292066,36.821946
14177,Family Healthoptions Kenya (Nakuru),Nakuru,Nakuru East,Non-Governmental Organizations,-0.283028,36.075022
20199,Mbaka Oromo Health Centre,Kisumu,Kisumu West,Ministry of Health,-0.0147,34.6347
10474,Kanyenyaini Health Centre,Murang'a,Murang'a West,Ministry of Health,-0.686,36.8829
18001,Prudent Medical Clinic Kariobangi,Nairobi,Embakasi Central,Private Enterprise (Institution),-1.292066,36.821946
14728,Kapkoros Sub-County Hospital,Bomet,Bomet Central,Ministry of Health,-0.6651,35.275
17596,Shinyalu Model Health Centre,Kakamega,Shinyalu,Ministry of Health,0.2213,34.8134
15837,A.C.K Butonge Dispensary,Bungoma,Sirisia,Christian Health Association of Kenya,0.578148,34.559255
15323,Ndarawetta Health centre,Bomet,Bomet Central,Ministry of Health,-0.40573,35.22321
15809,Boyani Dispensary,Vihiga,Hamisi,Other Faith Based,0.095981,34.739828
11632,David Kariuki Medical Centre,Kilifi,Malindi,Private Practice - Clinical Officer,-3.968514,39.54447
22173,TUMAINI DISC-SIAYA,Siaya,Alego Usonga,Non-Governmental Organizations,0.0565,34.2919
11283,Chewani Dispensary,Tana River,Galole,Ministry of Health,-1.4705562,39.00399231
11439,Jordan Medical Clinic,Mombasa,Kisauni,Private Enterprise (Institution),-4.0114,39.6941
18681,Makongo Dispensary,Kitui,Kitui East,Ministry of Health,-1.40758,38.89322
21208,Mainga Health Centre,Kisumu,Kisumu West,Ministry of Health,-0.0473,34.6713
13617,Ikonge Dispensary,Nyamira,Nyamira North,Ministry of Health,-0.536,35.0212
13839,Ndeda Dispensary,Siaya,Bondo,Ministry of Health,-0.2185,34.1185
21701,Musikoma Dispensary,Bungoma,Kanduyi,Ministry of Health,None,None
18336,Keragia Dispensary,Kisii,Bomachoge Chache,Ministry of Health,-0.84389,34.75244
17681,Manda Dispensary,Kakamega,Malava,Ministry of Health,0.281349,34.751401
15928,Kegondi Health Centre,Vihiga,Sabatia,Ministry of Health,0.1304,34.7308
13122,Ngara Health Centre (City Council of Nairobi),Nairobi,Starehe,Local Authority,-1.2735,36.8313
18594,Joy Nursing Home and Maternity,Nairobi,Kamukunji,Private Practice - General Practitioner,-1.292066,36.821946
15180,Merueshi Village Community Health Centre,Kajiado,Kajiado East,Private Enterprise (Institution),-1.558724,36.478973
14975,Kokuro Health Centre,Turkana,Kibish,Ministry of Health,0.865298,36.452774
19887,Nasira Dispensary,Busia,Matayos,Ministry of Health,0.4608,34.1073
13531,Daraja Medical Clinic,Kisii,Kitutu Chache South,Private Enterprise (Institution),-0.675747,34.771766
14335,Chepkanga Health Centre,Uasin Gishu,Moiben,Ministry of Health,0.5824,35.3062
13527,Christamarianne  Hospital,Kisii,Nyaribari Chache,Kenya Episcopal Conference-Catholic Secretariat,-0.6822,34.7723
13739,St Elizabeth Lwak Mission Health Centre,Siaya,Rarieda,Kenya Episcopal Conference-Catholic Secretariat,-0.13,34.35
16953,Waso Rongai Dispensary,Samburu,Samburu North,Ministry of Health,0.865298,36.452774
